page_id,url,page_title,domain,first_seen,last_seen,visit_count,status
bf2cf1355a7b619296736f87e33d585c,https://www.flashscore.com/match/football/ammanford-town-CKHq8vfg/ynyshir-albions-nLouPzT3/?mid=babKhsI8,Ammanford v Ynyshir Albions LIVE 03/01/2026 | Football - Flashscore,www.flashscore.com,2026-01-03T13:12:14.979111,2026-01-03T13:12:14.979111,1,active
fb83c8466d080c418e4e2463fe31119f,https://www.flashscore.com/match/football/baglan-dragons-ABH6mjcF/llantwit-major-tb3xcTQs/?mid=xWUxt4Y2,Llantwit Major v Baglan Dragons LIVE 03/01/2026 | Football - Flashscore,www.flashscore.com,2026-01-03T13:12:16.539152,2026-01-03T13:12:16.539152,1,active
18914dd9dbf91f01c691ee4e573e0c02,https://www.flashscore.com/match/football/brickfield-rangers-fZRbKIIg/guilsfield-pvz6EAEN/?mid=dQpEhBs3,Brickfield v Guilsfield LIVE 03/01/2026 | Football - Flashscore,www.flashscore.com,2026-01-03T13:12:46.120985,2026-01-03T13:12:46.120985,1,active
15b452208f00e4bb6a3c6334ea7b57b4,https://www.flashscore.com/match/football/as-dgssie-lndSP8WR/us-de-moursal-lAAYjK6l/?mid=6gi34d3e,As Dgssie v USM LIVE 03/01/2026 | Football - Flashscore,www.flashscore.com,2026-01-03T13:12:53.679526,2026-01-03T13:12:53.679526,1,active
ad2c8a91a040171a2d1a82a9a513ae03,https://www.flashscore.com/match/football/barry-town-lv21mqLr/connahs-q-ncsr4F0I/?mid=tAxRvawI,Connahs Q. v Barry LIVE 03/01/2026 | Football - Flashscore,www.flashscore.com,2026-01-03T13:12:54.948572,2026-01-03T13:12:54.948572,1,active
d1d2cf0dd67edca7990596e01eff9e0b,https://www.flashscore.com/match/football/al-fayha-Meknfpi2/al-kholood-Mqs1WbFK/?mid=roD9G0bl,Al Fayha v Al Kholood LIVE 03/01/2026 | Football - Flashscore,www.flashscore.com,2026-01-03T13:13:22.926140,2026-01-03T13:13:22.926140,1,active
c116fb9e72a9dfc87917f948fd82a932,https://www.flashscore.com/match/football/brighton-2XrRecc3/burnley-z3dmTMMO/?mid=8nBqzFe2,Brighton v Burnley LIVE 03/01/2026 | Football - Flashscore,www.flashscore.com,2026-01-03T13:13:31.284956,2026-01-03T13:13:31.284956,1,active
82d14a5066fb7765b2887028c27426ab,https://www.flashscore.com/match/football/west-ham-Cxq57r8g/wolves-j3Azpf5d/?mid=WtKChrTQ,Wolves v West Ham LIVE 03/01/2026 | Football - Flashscore,www.flashscore.com,2026-01-03T13:13:32.688011,2026-01-03T13:13:32.688011,1,active
39a83e8aad3ef854bb032d55f39bd6d9,https://www.flashscore.com/match/football/ayema-pGgxHKFK/dragons-tCHxw8Xs/?mid=IRuRN8d2,Ayema v Dragons LIVE 03/01/2026 | Football - Flashscore,www.flashscore.com,2026-01-03T13:13:59.310767,2026-01-03T13:13:59.310767,1,active
895bf4a931060596d7c75e881b80ceab,https://www.flashscore.com/match/football/bani-ganse-0r7sAAAQ/cavaliers-r5F6EPzs/?mid=QT0nVj4S,Cavaliers v Bani Ganse LIVE 03/01/2026 | Football - Flashscore,www.flashscore.com,2026-01-03T13:14:11.939959,2026-01-03T13:14:11.939959,1,active
829b0a6f94d1464527e177147a2691ad,https://www.flashscore.com/match/football/dynamo-abomey-hGiehVeH/hodio-lOXJ91kC/?mid=vD2vXCZF,Dynamo Abomey v Hodio LIVE 03/01/2026 | Football - Flashscore,www.flashscore.com,2026-01-03T13:14:19.348702,2026-01-03T13:14:19.348702,1,active
a6ef80cefeba584b654147914c8804d3,https://www.flashscore.com/match/football/espoir-savalou-AXYFAsz6/krake-2TvkehCO/?mid=pEsJPURk,Espoir v Krake LIVE 03/01/2026 | Football - Flashscore,www.flashscore.com,2026-01-03T13:14:40.615271,2026-01-03T13:14:40.615271,1,active
65c6d4416345586a42ab5074d13804fd,https://www.flashscore.com/match/football/js-pob-tjs0Zc1m/loto-2cV8Y2rB/?mid=IcEVYY43,FC Loto v JS Pobe LIVE 03/01/2026 | Football - Flashscore,www.flashscore.com,2026-01-03T13:14:50.232109,2026-01-03T13:14:50.232109,1,active
5759085febf937bd3076d08436df1415,https://www.flashscore.com/match/football/achnas-Y3WRhjAk/ael-limassol-bBTwQWuj/?mid=ry4MAuU7,Achnas v AEL Limassol LIVE 03/01/2026 | Football - Flashscore,www.flashscore.com,2026-01-03T13:14:57.884477,2026-01-03T13:14:57.884477,1,active
d1378da6a624554033ddbf4e48c17ddd,https://www.flashscore.com/match/football/arba-menche-Ac5CGGTq/hawassa-YeJ5rtW6/?mid=ABsE6QkR,Arba Menche v Hawassa LIVE 03/01/2026 | Football - Flashscore,www.flashscore.com,2026-01-03T13:15:19.750431,2026-01-03T13:15:19.750431,1,active
53a2ea5b8b3a68cbc8e26f33b1ea763f,https://www.flashscore.com/match/football/golden-warriors-veBFB0KU/great-ambitions-2kGjH4jg/?mid=MyOU2zRk,Great Ambitions v Golden Warriors LIVE 03/01/2026 | Football - Flashscore,www.flashscore.com,2026-01-03T13:15:22.281163,2026-01-03T13:15:22.281163,1,active
336b0bb14a2dae9fd758d2850d35e323,https://www.flashscore.com/match/football/accra-lions-4lalvds3/na-god-EwTgJO9k/?mid=MNrdlyCd,Na God v Accra Lions LIVE 03/01/2026 | Football - Flashscore,www.flashscore.com,2026-01-03T13:15:36.001354,2026-01-03T13:15:36.001354,1,active
3c81682ee553f27e32bca1d06b58ffe7,https://www.flashscore.com/match/football/ebony-fc-Mu8rJQLt/new-edubiase-WI3ceWbc/?mid=lnSpUOfU,New Edubiase v Ebony FC LIVE 03/01/2026 | Football - Flashscore,www.flashscore.com,2026-01-03T13:15:43.330487,2026-01-03T13:15:43.330487,1,active
69e2f5c1f831c85579482b1b10e65a05,https://www.flashscore.com/match/football/sankara-nationals-fc-8G45creM/tf-exponential-fc-boqpj0md/?mid=nJuUa30s,Sankara Nationals v TF Exponential LIVE 03/01/2026 | Football - Flashscore,www.flashscore.com,2026-01-03T13:16:08.412457,2026-01-03T13:16:08.412457,1,active
52f54f30b4a464bf419ddc5dcbe5bff9,https://www.flashscore.com/match/football/berekum-arsenal-zerOG1jH/vc-warriors-82BceOLD/?mid=GYwe2A15,VC Warriors v Berekum Arsenal LIVE 03/01/2026 | Football - Flashscore,www.flashscore.com,2026-01-03T13:16:08.594532,2026-01-03T13:16:08.594532,1,active
bbc41bb89189049bb559e61fe9ba6b5b,https://www.flashscore.com/match/football/ofi-crete-bTObIPJB/olympiacos-piraeus-hnzvnHPS/?mid=KhJH14zp,Olympiacos Piraeus v OFI Crete LIVE 03/01/2026 | Football - Flashscore,www.flashscore.com,2026-01-03T13:16:17.782081,2026-01-03T13:16:17.782081,1,active
f98a7c1777af29583d1ac9f627948bc3,https://www.flashscore.com/match/football/as-uam-tM4Hgiw8/asfan-KdDQmabI/?mid=Cl3os9Mr,ASFAN v AS UAM LIVE 03/01/2026 | Football - Flashscore,www.flashscore.com,2026-01-03T13:16:32.488798,2026-01-03T13:16:32.488798,1,active
